birth_year,nshc03t_table27,nshc04t,nshc05t,nshc06t,nshc07t,nshc08t
before_1924,3.31,,,,,
1925_29,4.22,,,,,
1930_34,4.58,4.19,,,,
1935_39,4.59,4.31,4.09,3.89,,
1940_44,4.21,4.12,3.98,3.82,3.58,
1945_49,3.8,3.7,3.61,3.5,3.36,3.12
1950_54,3.31,3.28,3.2,3.11,3.15,2.98
1955_59,2.88,2.77,2.81,2.73,2.69,2.67
1960_64,2.57,2.52,2.45,2.43,2.49,2.41
1965_69,2.46,2.44,2.4,2.43,2.44,2.39
1970_74,2.43,2.43,2.41,2.4,2.35,2.38
1975_79,,2.38,2.42,2.44,2.38,2.4
1980_84,,,2.46,2.42,2.43,2.45
1985_89,,,,2.42,2.43,2.44
1990_94,,,,,2.44,2.41
1995_99,,,,,,2.29
